card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,min_spend_amount_usd,min_spend_timeframe,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Chase Freedom Unlimited,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1.5,1.8,200,500.0,3 months,dollars,200,0% for 15 months,Yes,Everyday spending with no annual fee and solid category bonuses,Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility,Strong rotating 5% categories; 1.5% base rate; intro APR; pairs with Sapphire for travel redemptions,Foreign transaction fee; requires activation for 5% categories; bonus caps apply
Chase Freedom Flex,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1,1.6,200,500.0,3 months,dollars,200,0% for 15 months,Yes,Maximizing quarterly 5% categories without annual fee,Offers high earning potential in rotating categories for organized spenders,Up to 5% in quarterly categories; strong drug store and dining rates; intro APR,Requires quarterly activation; $1500 category cap; foreign transaction fee; must track categories
Chase Amazon Prime Visa,Chase,personal,0,0,0,cashback,,5 / 2 / 1,1.8,150,,,dollars,150,,Yes,Heavy Amazon shoppers and Prime members,Captures Amazon's massive user base with best-in-class earning on Amazon purchases,5% back at Amazon and Whole Foods; 2% restaurants gas drugstores; no annual fee beyond Prime,Requires active Amazon Prime membership; foreign transaction fee; value drops significantly without Prime
Chase Freedom Rise,Chase,personal,0,0,0,cashback,Freedom ,1.5,1.5,0,,,,"",0,,Yes,Credit builders seeking simple flat-rate rewards,Entry point into Chase ecosystem for customers with limited or rebuilding credit,No annual fee; automatic approval consideration for fair credit; straightforward 1.5% earning,Low rewards rate; foreign transaction fee; minimal perks; no intro APR offer
Chase Sapphire Preferred,Chase,personal,95,95,95,travel,Sapphire ,,0.5,60000,4000.0,3 months,points,600,,No,Travelers wanting premium perks without luxury-tier fees,Gateway travel card balancing strong earning transfer partners and manageable annual fee,60k+ welcome offer; transferable points to airlines/hotels; strong dining and travel multipliers; no FX fee,$95 annual fee; travel redemptions favor Chase portal or transfers; less lounge access than Reserve
Chase Sapphire Reserve,Chase,personal,550,550,550,travel,Sapphire ,,0.5,60000,4000.0,3 months,points,600,,No,Frequent travelers who value lounge access and premium travel benefits,Flagship personal travel card for customers prioritizing experience over cost,$300 annual travel credit; Priority Pass lounge access; 1.5× portal redemption boost; strong protections,$550 annual fee justifies only with heavy travel; benefits require optimization; needs high spend
Chase Ink Cash,Chase,business,0,0,0,cashback,Ink ,5 / 2 / 1,2.0,750,6000.0,3 months,dollars,750,0% for 12 months,Yes,Small businesses with heavy office supply telecom or gas spending,Maximizes cash back in core small-business spend categories without annual cost,5% on office supplies internet/cable/phone (up to $25k); intro APR; no annual fee,5% categories capped at $25k/year combined; foreign transaction fee; not ideal outside bonus categories
Chase Ink Unlimited,Chase,business,0,0,0,cashback,Ink ,1.5,1.5,750,6000.0,3 months,dollars,750,0% for 12 months,Yes,Businesses wanting simple flat-rate cash back on all purchases,Simplifies business spend tracking with unlimited flat earning and no annual fee,Unlimited 1.5% on all purchases; intro APR for large purchases; no annual fee,No category bonuses; foreign transaction fee; lower ceiling than category-optimized cards
United Gateway Card,Chase,personal,0,0,0,airline,United ,2 / 1,1.4,30000,1000.0,3 months,miles,300,,No,Occasional United flyers wanting United perks without annual fee commitment,Brings United co-brand benefits to cost-conscious travelers flying a few times per year,No annual fee; 2× on United purchases; bonus miles on United anniversary; no foreign transaction fee,No free checked bag; smaller welcome bonus; limited lounge or upgrade benefits; best only for infrequent flyers
United Club Infinite Card,Chase,personal,525,525,525,airline,United ,4 / 2 / 1,1.6,100000,,,miles,1000,,No,Frequent United flyers wanting lounge access and premium perks,Top-tier United co-brand with full lounge membership,United Club membership included; free first and second checked bags; priority services; strong earning on United,High annual fee; best value only for heavy United loyalists; fewer non-United perks than flexible travel cards
Southwest Rapid Rewards Priority,Chase,personal,149,149,149,airline,Southwest ,3 / 2 / 1,1.5,75000,,,points,1125,,No,Southwest loyalists wanting perks and strong earn,Premium Southwest co-brand for frequent domestic flyers,7,500 anniversary points; $75 Southwest annual travel credit; 4 upgraded boardings per year,Limited to Southwest ecosystem; no international premium partners; annual fee only offset for regular flyers
Southwest Rapid Rewards Premier,Chase,personal,99,99,99,airline,Southwest ,3 / 2 / 1,1.4,50000,,,points,750,,No,Southwest flyers seeking a mid-tier card with solid perks,Mid-tier Southwest card balancing fee and benefits,6,000 anniversary points; 2 EarlyBird check-ins per year; solid earning on Southwest purchases,Fewer perks than Priority; no lounge access; still limited to Southwest routes
Marriott Bonvoy Bountiful,Chase,personal,250,250,250,hotel,Marriott ,6 / 4 / 2,1.6,85000,,,points,680,,No,Marriott loyalists wanting rich point earning and credits,Premium Marriott co-brand emphasizing earning over ultra-luxury perks,High multipliers at Marriott; annual free night award; bonus points on dining and groceries; elite night credits,High annual fee; best value only for frequent Marriott stays; fewer non-hotel perks than flexible travel cards
IHG One Rewards Premier,Chase,personal,99,99,99,hotel,IHG ,10 / 5 / 3,1.7,140000,,,points,952,,No,Frequent IHG guests wanting strong earning and free nights,Premier IHG co-brand with robust earning and anniversary night,Annual free night certificate; 4th night free on reward stays; high earning at IHG properties,Limited to IHG portfolio; fewer airline transfer options; benefits require using free night
