card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Chase Freedom Unlimited,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1.5,1.8,200,dollars,200,0% for 15 months,Yes,Everyday spending with no annual fee and solid category bonuses,Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility,Strong rotating 5% categories; 1.5% base rate; intro APR; pairs with Sapphire for travel redemptions,Foreign transaction fee; requires activation for 5% categories; bonus caps apply
Chase Freedom Flex,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1,1.6,200,dollars,200,0% for 15 months,Yes,Maximizing quarterly 5% categories without annual fee,Offers high earning potential in rotating categories for organized spenders,Up to 5% in quarterly categories; strong drug store and dining rates; intro APR,Requires quarterly activation; $1500 category cap; foreign transaction fee; must track categories
Chase Amazon Prime Visa,Chase,personal,0,0,0,cashback,,5 / 2 / 1,1.8,150,dollars,150,,Yes,Heavy Amazon shoppers and Prime members,Captures Amazon's massive user base with best-in-class earning on Amazon purchases,5% back at Amazon and Whole Foods; 2% restaurants gas drugstores; no annual fee beyond Prime,Requires active Amazon Prime membership; foreign transaction fee; value drops significantly without Prime
Chase Freedom Rise,Chase,personal,0,0,0,cashback,Freedom ,1.5,1.5,0,,0,,Yes,Credit builders seeking simple flat-rate rewards,Entry point into Chase ecosystem for customers with limited or rebuilding credit,No annual fee; automatic approval consideration for fair credit; straightforward 1.5% earning,Low rewards rate; foreign transaction fee; minimal perks; no intro APR offer
Chase Sapphire Preferred,Chase,personal,95,95,95,travel,Sapphire ,,0.5,60000,points,600,,No,Travelers wanting premium perks without luxury-tier fees,Gateway travel card balancing strong earning transfer partners and manageable annual fee,60k+ welcome offer; transferable points to airlines/hotels; strong dining and travel multipliers; no FX fee,$95 annual fee; travel redemptions favor Chase portal or transfers; less lounge access than Reserve
Chase Sapphire Reserve,Chase,personal,550,550,550,travel,Sapphire ,,0.5,60000,points,600,,No,Frequent travelers who value lounge access and premium travel benefits,Flagship personal travel card for customers prioritizing experience over cost,$300 annual travel credit; Priority Pass lounge access; 1.5× portal redemption boost; strong protections,$550 annual fee justifies only with heavy travel; benefits require optimization; needs high spend
Chase Ink Cash,Chase,business,0,0,0,cashback,Ink ,5 / 2 / 1,2.0,750,dollars,750,0% for 12 months,Yes,Small businesses with heavy office supply telecom or gas spending,Maximizes cash back in core small-business spend categories without annual cost,5% on office supplies internet/cable/phone (up to $25k); intro APR; no annual fee,5% categories capped at $25k/year combined; foreign transaction fee; not ideal outside bonus categories
Chase Ink Unlimited,Chase,business,0,0,0,cashback,Ink ,1.5,1.5,750,dollars,750,0% for 12 months,Yes,Businesses wanting simple flat-rate cash back on all purchases,Simplifies business spend tracking with unlimited flat earning and no annual fee,Unlimited 1.5% on all purchases; intro APR for large purchases; no annual fee,No category bonuses; foreign transaction fee; lower ceiling than category-optimized cards
United Gateway Card,Chase,personal,0,0,0,airline,United ,2 / 1,1.4,30000,miles,300,,No,Occasional United flyers wanting United perks without annual fee commitment,Brings United co-brand benefits to cost-conscious travelers flying a few times per year,No annual fee; 2× on United purchases; bonus miles on United anniversary; no foreign transaction fee,No free checked bag; smaller welcome bonus; limited lounge or upgrade benefits; best only for infrequent flyers
United Club Infinite Card,Chase,personal,695,695,695,airline,United ,4 / 2 / 1,0.5,100000,miles,1000,,No,Road warriors flying United weekly who live in United Club lounges,Top-tier United card for heavy flyers needing premium lounge access and elite-qualifying benefits,Includes United Club membership (≈$650 value); 4× United purchases; free checked bags; Premier upgrades,$695 annual fee justified only with frequent United travel; niche value outside United ecosystem
Southwest Rapid Rewards Priority,Chase,personal,149,149,149,airline,Southwest ,4 / 2 / 1,0.5,75000,miles,750,,No,Regular Southwest flyers seeking annual credits and anniversary points,Mid-premium Southwest card balancing cost and perks for several trips per year,$75 annual Southwest travel credit; 7500 anniversary points; 4× Southwest; upgraded boardings,$149 fee requires regular Southwest use to justify; credits expire; fewer elite benefits than Business Performance
Southwest Rapid Rewards Premier,Chase,personal,99,99,99,airline,Southwest ,3 / 2 / 1,0.5,50000,miles,500,,No,Southwest loyalists building toward Companion Pass on a budget,Entry co-brand for Southwest ecosystem and Companion Pass qualification via spend,6000 anniversary points; 3× Southwest; contributes to Companion Pass; no foreign transaction fee,Fewer perks than Priority; no statement credits; less compelling without Companion Pass strategy
Marriott Bonvoy Bountiful,Chase,personal,250,250,250,hotel,Marriott ,6 / 4 / 2,0.5,85000,points,283,,No,Frequent Marriott guests wanting automatic status and annual free night,Premium Marriott card delivering Silver Elite status and flexible points earning across travel/dining,6× at Marriott; 4× dining; 2× other; annual free night (up to 50k points); automatic Silver Elite,$250 annual fee; free night capped at 50k properties; value tied entirely to Marriott footprint
IHG One Rewards Premier,Chase,personal,99,99,99,hotel,IHG ,10 / 5 / 3 / 1,0.6,140000,points,466,,No,Regular IHG guests seeking Platinum status and strong hotel multipliers,Delivers outsized IHG earning and status perks at accessible annual fee,10× at IHG; anniversary free night; automatic Platinum Elite; no foreign transaction fee,Annual free night restricted to properties ≤40k points; value depends on IHG loyalty and footprint
IHG One Rewards Traveler,Chase,personal,0,0,0,hotel,IHG ,5 / 3 / 2 / 1,0.4,80000,points,266,,No,Casual IHG guests wanting no-fee hotel earning and some bonus categories,Entry IHG card for occasional hotel stays without ongoing cost commitment,No annual fee; 5× at IHG; bonus on gas and dining; no foreign transaction fee,No free night certificate; no elite status; lower effective value than Premier for frequent guests
Chase Sapphire Reserve for Business,Chase,business,550,550,550,travel,Sapphire ,,0.5,60000,points,600,,No,Business owners with heavy travel spend needing premium protections and lounge access,Business version of flagship Reserve delivering same premium travel experience with business expense tracking,$300 travel credit; Priority Pass; strong travel protections; 1.5× portal boost; cell phone protection,$550 annual fee requires high travel spend; benefits overlap personal Reserve if held together
Ink Business Preferred Credit Card,Chase,business,95,95,95,travel,Ink ,,0.5,100000,points,1000,,No,Small businesses maximizing Ultimate Rewards points on common expense categories,Flagship Ink card optimized for points earning on internet shipping advertising and travel,Huge welcome bonus (often 100k+); 3× on travel shipping internet/cable/phone ads; transferable points,$95 annual fee; 3× categories capped at $150k/year combined; value tied to Ultimate Rewards transfer partners
Ink Business Premier Credit Card,Chase,business,195,195,195,cashback,Ink ,2.5 / 2,2.2,1000,dollars,1000,,No,High-spend businesses wanting simple cash back on large purchases,Premium cash-back Ink optimized for businesses making frequent large transactions ($5k+),2.5% on purchases ≥$5k; 2% all other; strong welcome bonus; simple cash redemption,$195 annual fee; cash back not transferable to travel partners; requires high spend to maximize 2.5% tier
United Business Card,Chase,business,0,0,99,airline,United ,2 / 1.5 / 1,0.5,100000,miles,1000,,No,Small businesses with moderate United travel seeking strong welcome bonus and perks,Brings United co-brand earning and benefits to business travelers at accessible cost,First year free then $99; strong 100k+ welcome offer; 2× on United gas office telecom; free bag,Annual fee after year one; best value with regular United flights; fewer perks than Club Business
United Club Business Card,Chase,business,450,450,450,airline,United ,4 / 2 / 1,0.5,100000,miles,1000,,No,Businesses with weekly United travel needing lounge access and premium benefits,Premium United business card delivering United Club membership and elevated earning,United Club membership included; 4× United; free checked bags; club passes for employees,$450 annual fee justified only with very frequent United travel; niche outside United hub cities
Southwest Rapid Rewards Performance Business,Chase,business,299,299,299,airline,Southwest ,4 / 3 / 2 / 1,0.5,120000,miles,1200,,No,Businesses building large Southwest point balances and pursuing Companion Pass,Top-tier Southwest business card packed with credits anniversary points and huge welcome bonus,Massive welcome offer; 9000 anniversary points; Wi-Fi and upgraded boarding credits; 4× Southwest,$299 annual fee; credits require active use; value tied to Southwest footprint and Companion Pass strategy
Southwest Rapid Rewards Premier Business,Chase,business,99,99,99,airline,Southwest ,3 / 2 / 1,0.5,60000,miles,600,,No,Small businesses flying Southwest occasionally and contributing to Companion Pass,Entry Southwest business card balancing cost and Companion Pass qualification,6000 anniversary points; 3× Southwest; contributes to Companion Pass; no foreign transaction fee,Fewer perks than Performance Business; no statement credits; less compelling without Companion Pass goal
IHG One Rewards Premier Business,Chase,business,99,99,99,hotel,IHG ,10 / 5 / 3 / 1,0.6,140000,points,466,,No,Businesses with regular IHG stays seeking Platinum status and strong multipliers,Business version of IHG Premier delivering same hotel perks with expense separation,10× at IHG; anniversary free night; Platinum Elite; strong earning on gas and dining,$99 annual fee; free night capped at 40k points; value depends on IHG loyalty program engagement
World of Hyatt Business Credit Card,Chase,business,199,199,199,hotel,,4 / 2 / 1,0.6,60000,points,200,,No,Businesses loyal to Hyatt properties wanting elite nights via card spend,Hyatt business card offering unique ability to earn elite qualifying nights through spending,5 elite night credits per $10k spend; 4× Hyatt; 2× dining fitness travel; strong point value,$199 annual fee; value tied to Hyatt footprint; elite night earning caps; niche outside Hyatt loyalty
Citi Double Cash,Citi,personal,0,0,0,cashback,,2,2.0,200,dollars,200,0% for balance transfers,Yes,Straightforward 2% cash back on everything without tracking categories or caps,Market-leading flat-rate cash back for set-it-and-forget-it earners who want simplicity,True 2% on all purchases (1% when you buy + 1% when you pay); no annual fee; 0% balance transfer intro; no category limits,Foreign transaction fee; must pay balance to earn second 1%; rewards only as statement credit not points
Citi Custom Cash,Citi,personal,0,0,0,cashback,,5 / 1,2.2,200,dollars,200,0% for balance transfers,Yes,Automatic 5% back on your top spending category each month up to $500,Hands-off high earning that detects your top spend category without manual activation,Automatic 5% on top category monthly (up to $500); no annual fee; no foreign transaction fee; works with everyday categories,5% capped at $500/month then 1%; cannot manually choose category; rewards value tied to statement credit redemption
Citi Strata Premier,Citi,personal,95,95,95,travel,Strata ,,0.5,60000,points,600,,No,Travelers wanting transferable points with strong dining travel and gas multipliers,Mid-tier travel card offering Citi ThankYou points with airline/hotel transfer partners at accessible annual fee,3× on dining restaurants travel gas supermarkets; points transfer to 18+ airline/hotel partners; $100 hotel credit annually after $500+ hotel spend; no FX fee,$95 annual fee; transfer partners less valuable than Chase/Amex; complex 3× category structure; hotel credit requires qualifying spend
Citi AAdvantage Platinum Select World Elite Mastercard,Citi,personal,99,99,99,airline,American ,2 / 1,0.5,65000,miles,650,,No,Regular American Airlines flyers wanting free checked bags and priority boarding,Core AA co-brand delivering essential flight perks for frequent AA travelers at mid-tier price,2× on AA purchases and eligible dining/gas; first checked bag free (saves ~$30/flight); priority boarding; reduced award booking fees; no FX fee,$99 annual fee justified only with 4+ AA trips/year; AAdvantage devaluation risk; perks limited outside AA ecosystem
Citi AAdvantage Globe Mastercard,Citi,personal,0,0,0,airline,American ,2 / 1,0.5,30000,miles,300,,No,Occasional AA flyers wanting to earn miles without paying an annual fee,No-fee AA earning option for light travelers in AA hubs or infrequent AA flyers,No annual fee; 2× on AA purchases; milestone bonuses for spend; no foreign transaction fee,No free checked bag; smaller welcome bonus than Platinum Select; fewer lounge/boarding perks; must fly AA regularly to justify
Citi AAdvantage Executive World Elite Mastercard,Citi,personal,450,450,450,airline,American ,2 / 1,0.5,70000,miles,700,,No,Elite AA travelers flying 10+ times per year needing Admirals Club lounge access,Premium AA card delivering full lounge membership for frequent business travelers and AA loyalists,Admirals Club membership included (~$650 standalone value); first checked bag free; priority boarding; 2× AA purchases; Flagship First Dining access; no FX fee,$450 annual fee justified only with 8+ AA trips/year or heavy lounge use; AAdvantage program devaluations; limited value outside AA network
Citi Strata Elite Credit Card,Citi,personal,195,195,195,travel,Strata ,,0.5,80000,points,800,,No,High spenders wanting premium travel perks and dining/entertainment credits with Citi points,Top-tier Citi travel card with elevated earn rates statement credits and transfer flexibility,5× on travel via Citi portal; 3× on dining restaurants entertainment hotels air travel gas; $100 hotel credit; $50 other annual credits; 18+ transfer partners,$195 annual fee; credits require active use and tracking; Citi transfer partners weaker than Chase/Amex; complex optimization needed
Citi Strata Credit Card,Citi,personal,0,0,0,travel,Strata ,,0.5,30000,points,300,,No,Entry-level travelers wanting transferable points without annual fee commitment,No-fee access to Citi ThankYou transferable points for casual travelers building flexibility,No annual fee; points transfer to airlines/hotels; 2× on dining travel; straightforward earning structure,Lower earn rates than Strata Premier/Elite; fewer transfer partners and bonuses; best as starter or pairing card; foreign transaction fee
Citi Diamond Preferred Credit Card,Citi,personal,0,0,0,balance_transfer,,,0.0,0,,0,0% for 21 months,Yes,Longest 0% intro APR for balance transfers in the market,Offers industry-leading 21-month intro period for debt consolidation and payoff plans,21-month 0% intro APR on balance transfers; no annual fee; simple no-rewards structure for focus on debt payoff,No rewards earning; balance transfer fee applies (typically 3-5%); foreign transaction fee; rewards-focused users should look elsewhere
Citi Simplicity Credit Card,Citi,personal,0,0,0,balance_transfer,,,0.0,0,,0,0% for 21 months,Yes,0% intro APR with no late fees ever for stress-free credit management,Unique no-penalty structure with永久no late fees for users wanting payment flexibility and simplicity,21-month 0% intro APR on purchases and balance transfers; no late fees ever; no annual fee; simple no-frills structure,No rewards earning; foreign transaction fee; best for debt payoff or users prone to late payments; not for rewards optimization
Citi AAdvantage MileUp Card,Citi,personal,0,0,0,airline,American ,2 / 1,0.5,15000,miles,150,,No,Light AA flyers who also want bonus earning on groceries without annual fee,Hybrid card blending AA airline earning with grocery category bonus for everyday value,No annual fee; 2× on groceries and eligible gas purchases; 1× on AA purchases; milestone bonuses; no foreign transaction fee,Lower AA earn rate than dedicated co-brands; smaller welcome bonus; no free checked bag or priority boarding; niche appeal
