card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Chase Freedom Unlimited,Chase,personal,0,0,0,cashback,"5 / 3 / 1.5",1.8,200,dollars,200,"0% for 15 months",Yes,Everyday spending with no annual fee and solid category bonuses,Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility,Strong rotating 5% categories; 1.5% base rate; intro APR; pairs with Sapphire for travel redemptions,Foreign transaction fee; requires activation for 5% categories; bonus caps apply
Chase Freedom Flex,Chase,personal,0,0,0,cashback,"5 / 3 / 1",1.6,200,dollars,200,"0% for 15 months",Yes,Maximizing quarterly 5% categories without annual fee,Offers high earning potential in rotating categories for organized spenders,Up to 5% in quarterly categories; strong drug store and dining rates; intro APR,Requires quarterly activation; $1500 category cap; foreign transaction fee; must track categories
Chase Amazon Prime Visa,Chase,personal,0,0,0,cashback,"5 / 2 / 1",1.8,150,dollars,150,N/A,Yes,Heavy Amazon shoppers and Prime members,Captures Amazon's massive user base with best-in-class earning on Amazon purchases,5% back at Amazon and Whole Foods; 2% restaurants gas drugstores; no annual fee beyond Prime,Requires active Amazon Prime membership; foreign transaction fee; value drops significantly without Prime
Chase Freedom Rise,Chase,personal,0,0,0,cashback,"1.5",1.5,0,N/A,0,N/A,Yes,Credit builders seeking simple flat-rate rewards,Entry point into Chase ecosystem for customers with limited or rebuilding credit,No annual fee; automatic approval consideration for fair credit; straightforward 1.5% earning,Low rewards rate; foreign transaction fee; minimal perks; no intro APR offer
Chase Sapphire Preferred,Chase,personal,95,95,95,travel,N/A,0.5,60000,points,600,N/A,No,Travelers wanting premium perks without luxury-tier fees,Gateway travel card balancing strong earning transfer partners and manageable annual fee,60k+ welcome offer; transferable points to airlines/hotels; strong dining and travel multipliers; no FX fee,$95 annual fee; travel redemptions favor Chase portal or transfers; less lounge access than Reserve
Chase Sapphire Reserve,Chase,personal,550,550,550,travel,N/A,0.5,60000,points,600,N/A,No,Frequent travelers who value lounge access and premium travel benefits,Flagship personal travel card for customers prioritizing experience over cost,$300 annual travel credit; Priority Pass lounge access; 1.5× portal redemption boost; strong protections,$550 annual fee justifies only with heavy travel; benefits require optimization; needs high spend
Chase Ink Cash,Chase,business,0,0,0,cashback,"5 / 2 / 1",2.0,750,dollars,750,"0% for 12 months",Yes,Small businesses with heavy office supply telecom or gas spending,Maximizes cash back in core small-business spend categories without annual cost,5% on office supplies internet/cable/phone (up to $25k); intro APR; no annual fee,5% categories capped at $25k/year combined; foreign transaction fee; not ideal outside bonus categories
Chase Ink Unlimited,Chase,business,0,0,0,cashback,"1.5",1.5,750,dollars,750,"0% for 12 months",Yes,Businesses wanting simple flat-rate cash back on all purchases,Simplifies business spend tracking with unlimited flat earning and no annual fee,Unlimited 1.5% on all purchases; intro APR for large purchases; no annual fee,No category bonuses; foreign transaction fee; lower ceiling than category-optimized cards
United Gateway Card,Chase,personal,0,0,0,airline,"2 / 1",1.4,30000,miles,300,N/A,No,Occasional United flyers wanting United perks without annual fee commitment,Brings United co-brand benefits to cost-conscious travelers flying a few times per year,No annual fee; 2× on United purchases; bonus miles on United anniversary; no foreign transaction fee,No free checked bag; smaller welcome bonus; limited lounge or upgrade benefits; best only for infrequent flyers
United Club Infinite Card,Chase,personal,695,695,695,airline,"4 / 2 / 1",0.5,100000,miles,1000,N/A,No,Road warriors flying United weekly who live in United Club lounges,Top-tier United card for heavy flyers needing premium lounge access and elite-qualifying benefits,Includes United Club membership (≈$650 value); 4× United purchases; free checked bags; Premier upgrades,$695 annual fee justified only with frequent United travel; niche value outside United ecosystem
